,online_order,book_table,rate,votes,location,rest_type,cost_two,type,city,Beverages,Biryani,Cafe,Chinese,Continental,Desserts,Fast Food,Italian,North Indian,South Indian
0,Yes,Yes,5,775,Banashankari,Casual Dining,800,Buffet,Banashankari,0,0,0,1,0,0,0,0,1,0
1,Yes,No,5,787,Banashankari,Casual Dining,800,Buffet,Banashankari,0,0,0,1,0,0,0,0,1,0
2,Yes,No,4,918,Banashankari,Cafe,800,Buffet,Banashankari,0,0,1,0,0,0,0,1,0,0
2,Yes,No,4,918,Banashankari, Casual Dining,800,Buffet,Banashankari,0,0,1,0,0,0,0,1,0,0
3,No,No,4,88,Banashankari,Quick Bites,300,Buffet,Banashankari,0,0,0,0,0,0,0,0,1,1
4,No,No,4,166,Basavanagudi,Casual Dining,600,Buffet,Banashankari,0,0,0,0,0,0,0,0,1,0
5,Yes,No,4,286,Basavanagudi,Casual Dining,600,Buffet,Banashankari,0,0,0,0,0,0,0,0,1,0
7,Yes,Yes,5,2556,Banashankari,Casual Dining,600,Cafes,Banashankari,0,0,1,0,0,0,0,1,0,0
7,Yes,Yes,5,2556,Banashankari, Cafe,600,Cafes,Banashankari,0,0,1,0,0,0,0,1,0,0
8,Yes,No,4,324,Banashankari,Cafe,700,Cafes,Banashankari,0,0,1,0,1,0,0,1,0,0
9,Yes,No,5,504,Banashankari,Cafe,550,Cafes,Banashankari,1,0,1,0,0,0,0,1,0,0
10,Yes,No,5,402,Banashankari,Cafe,500,Cafes,Banashankari,0,0,1,0,0,0,0,0,0,0
11,Yes,Yes,5,150,Banashankari,Cafe,600,Cafes,Banashankari,0,0,1,0,1,0,0,1,0,0
12,Yes,Yes,5,164,Banashankari,Cafe,500,Cafes,Banashankari,0,0,1,1,1,0,0,1,0,0
13,No,No,4,424,Banashankari,Cafe,450,Cafes,Banashankari,0,0,1,0,1,0,0,0,0,0
14,Yes,No,4,918,Banashankari,Cafe,800,Cafes,Banashankari,0,0,1,0,0,0,0,1,0,0
14,Yes,No,4,918,Banashankari, Casual Dining,800,Cafes,Banashankari,0,0,1,0,0,0,0,1,0,0
15,Yes,No,4,90,Banashankari,Cafe,650,Cafes,Banashankari,0,0,1,0,0,0,0,0,0,0
16,Yes,No,4,133,Banashankari,Cafe,800,Cafes,Banashankari,0,0,1,1,1,0,1,0,0,0
17,Yes,No,4,144,Banashankari,Cafe,700,Cafes,Banashankari,0,0,1,1,0,0,0,1,0,0
18,No,No,4,93,Banashankari,Cafe,300,Cafes,Banashankari,0,0,1,0,0,0,0,1,0,0
20,Yes,No,3,62,Banashankari,Cafe,400,Cafes,Banashankari,0,0,1,0,0,0,0,0,1,0
21,Yes,No,4,180,Banashankari,Cafe,500,Cafes,Banashankari,1,0,1,0,0,0,1,0,0,0
23,Yes,No,4,62,Banashankari,Quick Bites,600,Cafes,Banashankari,0,0,1,0,0,0,1,1,0,0
23,Yes,No,4,62,Banashankari, Cafe,600,Cafes,Banashankari,0,0,1,0,0,0,1,1,0,0
29,No,No,4,148,Basavanagudi,Casual Dining,550,Cafes,Banashankari,0,0,1,1,0,0,1,0,1,0
29,No,No,4,148,Basavanagudi, Cafe,550,Cafes,Banashankari,0,0,1,1,0,0,1,0,1,0
30,Yes,No,4,219,Basavanagudi,Cafe,600,Cafes,Banashankari,0,0,1,0,0,0,0,1,0,0
31,Yes,No,3,506,Banashankari,Quick Bites,500,Delivery,Banashankari,0,0,0,1,0,0,1,0,1,0
33,Yes,No,4,172,Banashankari,Delivery,750,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
34,Yes,No,5,415,Banashankari,Quick Bites,500,Delivery,Banashankari,0,1,0,0,0,0,1,0,1,0
35,Yes,No,4,230,Banashankari,Delivery,650,Delivery,Banashankari,0,1,0,0,0,0,0,0,0,0
37,Yes,No,5,1647,Banashankari,Casual Dining,600,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,0
38,Yes,No,5,4884,Jayanagar,Casual Dining,750,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
40,Yes,No,4,133,Basavanagudi,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
42,Yes,No,4,286,Banashankari,Quick Bites,500,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
43,Yes,No,4,540,Banashankari,Quick Bites,800,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
44,Yes,Yes,5,2556,Banashankari,Casual Dining,600,Delivery,Banashankari,0,0,1,0,0,0,0,1,0,0
44,Yes,Yes,5,2556,Banashankari, Cafe,600,Delivery,Banashankari,0,0,1,0,0,0,0,1,0,0
45,No,No,4,36,Banashankari,Delivery,400,Delivery,Banashankari,0,0,0,0,1,0,0,1,1,0
46,Yes,No,4,244,Kumaraswamy Layout,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
47,Yes,No,4,804,Kumaraswamy Layout,Casual Dining,450,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
48,Yes,No,4,679,Rajarajeshwari Nagar,Casual Dining,850,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,0
49,Yes,No,4,245,Kumaraswamy Layout,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
52,No,No,5,345,Banashankari,Dessert Parlor,400,Delivery,Banashankari,0,0,0,0,0,1,0,0,0,0
53,Yes,No,4,618,Jayanagar,Casual Dining,750,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,1
54,No,No,4,1047,Banashankari,Quick Bites,450,Delivery,Banashankari,0,0,0,1,1,0,1,1,0,0
55,Yes,No,4,627,Banashankari,Delivery,450,Delivery,Banashankari,0,1,0,1,1,0,0,0,1,0
57,Yes,Yes,5,354,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,0
60,No,No,5,244,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,0,0,0,0,1,1,0
61,Yes,Yes,4,163,Kumaraswamy Layout,Casual Dining,800,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
63,No,Yes,4,808,Banashankari,Casual Dining,850,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
65,Yes,No,5,1720,Basavanagudi,Quick Bites,400,Delivery,Banashankari,0,0,0,1,0,0,1,0,1,0
67,No,No,5,868,Banashankari,Pub,1200,Delivery,Banashankari,0,0,0,1,1,0,0,1,1,0
71,No,No,5,520,Banashankari,Quick Bites,300,Delivery,Banashankari,0,1,0,1,0,0,0,0,0,0
74,No,No,4,299,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
76,Yes,No,5,558,Basavanagudi,Quick Bites,150,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
79,No,No,4,39,Banashankari,Quick Bites,350,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
81,Yes,No,5,146,Banashankari,Beverage Shop,400,Delivery,Banashankari,1,0,0,0,0,1,0,0,0,0
86,Yes,No,5,4401,Jayanagar,Casual Dining,600,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
94,No,No,3,283,Banashankari,Casual Dining,600,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
95,No,No,4,62,Banashankari,Bar,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
98,No,No,4,65,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
